Остатки отпуска,"
Как оформить командировку",Какие вакансии есть,"
Даты выплат зарплаты",Экскурсия на завод,Информация по орг. Структуре,Получение компьютера,конец диалога
Вы что. в отпуск собираетесь? А работать кто будет за вас? Робот?,"Я бы тоже хотела поехать в командировку. В Париж или Нью Йорк.... Не ездите в командировку сами, отправьте лучше робота! Меня","Я бы могла отправить список тебе на почту или рассказать о том, какие вакансии сейчас у нас в компании есть... Ноо... Вообще-то, пора самому уже выучить... Еще ЭйЧааар, называется. Ай-ай-ай","В какие даты у Вас зарплата, нужно узнать у отдела кадров...А то, я ведь робот. и зарплату не получаю...а хотелось бы.","На завод попасть можно. И Даже с детьми... Как??.. Расскажу, как только сама узнаю. Ха ха","Какое бы Вы место не занимали в структуре компании - для меня это не важно! Каждый человек важный и ценный. И робот, кстати, тоже","Компьютер получить нельзя. Он к вам сам придет, если почувствует, что вы в нем нуждаетесь","ну и отлично. звони в любое время, я тут без перерыва и выходных.и обеда, кстати, тоже. Покасики!"
Сколько дней отпуска осталось?,Как мне оформить командировку?,Какие есть сейчас вакансии?,Когда у меня зарплата?,Я хочу попасть на экскурсию на завод,Меня интересует структура компании,Когда я могу получить компьютер?,нет
Сколько у меня отпуска?,Что на счет оформления командировки?,Кого мы сейчас ищем?,В какие дни зарплата?,Как сводить ребенка на экскурсию на завод,Как мне узнать мой грейд?,Когда мне выдадут комп?,все
"Как мне посмотреть, сколько я дней смогу отдыхать?",Какие документы нужны для оформления командировки?,Какую работу я могу получить в компании?,В какие числа платят деньги?,Меня интересует экскурсия на завод,Кто мой руководитель?,Что с ноутбуком?,нет вопросов
Сколько дней отпуска мне доступно?,Как мне оформить командировку?,Какие вакансии у вас открыты в данный момент?,Когда выдают зарплату?,А экскурсия на завод будет?,Какая у вас структура компании?,Будет комп?,КОнец
"Как узнать, сколько отпуска у меня осталось?",Каков процесс оформления командировки?,Какие вакансии есть?,Когда отправляется зарплата?,Можно ли пройтись по заводу?,У кого в подчинении я буду? ,Нужен ли мне свой компьютер или мне выдадут рабочий? ,Пока
Подскажите по отпуску - сколько осталось?,Мне нужно оформить командировку - как это сделать?,Есть вакансии?,Зарплата приходит без задержек?,Как попасть на завод?,Сколько у меня подчиненных? ,Выделяется ли личный компьютер?,До свидания
На сколько я могу взять отпуск?,Что нужно для оформления командировки?,Есть открытые вакансии?,В какие даты выплачивается зарплата?,Будет ли экскурсия на завод?,Кто будет мой батя?,Выдается ли ноутбук?,я все спросил
На какое время я смогу взять отпуск?,,Какие у вас есть вакансии?,Когда зарплата?,Хочу записаться на экскурсию на завод.,Кто мой начальник?,Могу ли я получить ноутбук?,
Сколько я могу еще отдохнуть в этом году?,"Что нужно, чтобы оформить командировку?",Какие у вас сейчас вакансии?,По каким числам зарплата?,"Обещали экскурсию на завод, когда она будет?",у вас все сидят в одном офисе?,,все вопросов нет
Дней отпуска осталось?,Что оплачивается в командировке?,А что вы предлагаете?,В каких числах зарплата?,На заводе проводятся экскурсии?,Много людей работает?,На рабочем месте будет комп?,ладно пока
"Не подскажете, что у меня по отпуску?",Кто может помочь с оформлением командировки?,Какие вакансии сейчас открыты?,Когда ближайшая зарплата?,Можно ли устроить экскурсию на завод?,Сколько людей в моем отделе?,У меня будет личный ноутбук?,все пока
В какие даты я могу взять отпуск?,Кому мне отправить документы для оформления командировки?,Есть ли другие вакансии?,Подскажите даты выплат зарплаты.,Могу ли попасть к вам на экскурсию?,Какова структура отдела?,Снабжено ли мое рабочее место ноутбуком?,у меня больше нет вопросов
Сколько дней осталось?,Что требуется для оформления командировки?,Хочу ознакомиться с полным списком открытых вакансий.,"Мне не пришла зарплата, когда будет?",Могу ли попасть на экскурсию на завод?,Где находится головной офис?,Выдадут ли мне компьютер?,я закончил
Сколько дней отпуска у меня есть?,Как оформить документы по моей командировке? ,Какие вакансии открыты на данный момент в нашей компании?,Какого числа выплачивается зарплата и аванс?,Хотела бы посмотреть завод,Какая структура в компании?,Когда я смогу получить ноутбук или компьютер?,все спасибо
Сколько дней отдыхать?,к кому обратиться по командировке?,На какую должность я могу претендовать в вашей компании?,В какие дни приходит зарплата?,Могу ли попасть на экскурсию в промышленный сектор?,Кто будет замещать моего начальника на время отпуска?,"Выдадут ли мне компьютер, или нужен свой?",до встречи
Когда я смогу уйти в отпуск?,где взять ваучер и билеты?,Есть ли вакантные места в компании?,какие зарплатные дни?,Хочу посмотреть ваше производство,"Опишите, пожалуйста, структуру компании?",А компьютер стационарный или ноутбук?,пока пока
На сколько смогу уйти в отпуск?,"Какие документы нужны, чтобы уехать в командировку?","Есть ли сейчас открытые позиции, на которые я могу претендовать?",Деньги как обычно?,А в какие цеха можно зайти посмотреть?,Какое место я занимаю в орг. структуре?,Можно ли получить макбук?,покасики
Когда же отпуск?,С кем нужно согласовать командировку?,Найдется для меня другая работа?,Какой расчетный день?,На завод пустите?,Я все еще на своей позиции?,Выдадите ноутбук?,всего доброго
Я смогу уйти в отпуск через месяц?,Кто заказывает билеты для командировки?,"У меня друг ищет работу, какие вакансии сейчас есть?",Когда перевод на карту?,"Что надо, чтобы пустили на завод?",Кто кому начальник?,Нужен свой или компания предоставляет ноутбук?,до связи
Отпуск только через полгода?,Какие суточные у нас в командировке?,"У меня знакомый ищет работу, что у нас с вакансиями?",Зарплата вовремя?,Как и когда посетить экскурсию?,"Моего напарника уволили, кто будет делать его работу? Начальник на больничном",Будет оборудованное рабочее место?,у меня все пока
А когда у меня отпуск?,Сколько суточных я получу за командировку?,Каких сотрудников вы ищете?,Когда заплатите?,Как записать ребенка на экскурсию по заводу?,"Меня перевели, кому я теперь подчиняюсь?",IКак скоро получу рабочий компьютер?,у меня все 
Скоро отпуск?,Как оформить командировочное удостоверение?,Какие вакансии у вас?,В какие сроки выплачивается аванс и вторая часть заработной платы?,Как провести друзьям экскурсию по моему цеху?,К кому идти просить премию?,Мне до сих пор не выдали ноутбук,вопросов больше нет
Могу я взять отгул в счет отпуска?,Командировки будут?,Много вакансий есть у вас?,Когда аванс?,Можно завод показать?,Кто главный в моем отделе?,Мне еще не выдали компьютер,мне больше нечего спросить
С кем мне нужно согласовать отпуск?,Как происходит оплата командировки?,Что предлагается по специальностям?,когда у нас pay day ?,Экскурсия есть к вам?,"У меня 2/3/4 руководителя, у кого просить отпуск/премию/больничный?",Купите мне макбук,ты ответила на все мои вопросы
Куда отправить заявление на отпуск?,,Есть несколько вариантов вакансий?,когда у нас пэй дэй?,Есть экскурсия на предприятие?,Кому я подчиняюсь?,"У меня медленный ноутбук, как попросить другой?",ты уже на все ответила
